Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,Beds,Bed_Category
160153,Mercy Medical Center-Sioux City,801 5TH ST,Sioux City,IA,51101,WOODBURY,7122792010,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Below the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,"801 5TH ST
SIOUX CITY, IA
(42.495329, -96.400061)",200,Large
161320,Community Memorial Hospital Medical Center,909 WEST FIRST STREET,Sumner,IA,50674,BREMER,5635783275,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"909 WEST FIRST STREET
SUMNER, IA
(42.847422, -92.109691)",30,Small
210045,Edward Mccready Memorial Hospital,201 HALL HIGHWAY,Crisfield,MD,21817,SOMERSET,4107269496,Acute Care Hospitals,Voluntary non-profit - Private,True,True,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,"201 HALL HIGHWAY
CRISFIELD, MD
(37.996011, -75.852366)",200,Large
210057,Adventist Healthcare Shady Grove Medical Center,9901 MEDICAL CENTER DRIVE,Rockville,MD,20850,MONTGOMERY,2408266517,Acute Care Hospitals,Voluntary non-profit - Church,True,True,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,"9901 MEDICAL CENTER DRIVE
ROCKVILLE, MD
(39.098046, -77.201027)",200,Large
170175,Western Plains Medical Complex,3001 AVENUE A,Dodge City,KS,67801,FORD,6202258400,Acute Care Hospitals,Proprietary,True,True,3,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,"3001 AVENUE A
DODGE CITY, KS
(37.785487, -100.014975)",200,Large
131303,Nell J Redfield Memorial Hospital,150 NORTH 200 WEST,Malad,ID,83252,ONEIDA,2087662231,Critical Access Hospitals,Government - Local,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"150 NORTH 200 WEST
MALAD, ID
(42.18983, -112.24941)",30,Small
200050,Maine Coast Memorial Hospital,50 UNION STREET,Ellsworth,ME,4605,HANCOCK,2076675311,Acute Care Hospitals,Voluntary non-profit - Other,True,True,5,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,"50 UNION STREET
ELLSWORTH, ME
(44.546574, -68.415526)",200,Large
220036,St Elizabeth'S Medical Center,736 CAMBRIDGE STREET,Brighton,MA,2135,SUFFOLK,6177893000,Acute Care Hospitals,Proprietary,True,True,3,,Above the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"736 CAMBRIDGE STREET
BRIGHTON, MA
(42.349886, -71.147833)",200,Large
140077,Touchette Regional Hospital Inc,5900 BOND AVENUE,Centreville,IL,62207,SAINT CLAIR,6183323060,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period,"5900 BOND AVENUE
CENTREVILLE, IL
(38.571324, -90.10767)",200,Large
140095,Saint Anthony Hospital,2875 WEST 19TH STREET,Chicago,IL,60623,COOK,7735211710,Acute Care Hospitals,Voluntary non-profit - Church,True,True,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period,"2875 WEST 19TH STREET
CHICAGO, IL
(41.855538, -87.698272)",200,Large
121308,Kula Hospital,100 KOKEA PLACE,Kula,HI,96790,MAUI,8088781221,Critical Access Hospitals,Government - State,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"100 KOKEA PLACE
KULA, HI
(20.701994, -156.357099)",30,Small
200008,Mercy Hospital,144 STATE STREET,Portland,ME,4101,CUMBERLAND,2078793000,Acute Care Hospitals,Voluntary non-profit - Church,True,True,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,"144 STATE STREET
PORTLAND, ME
(43.652067, -70.265231)",200,Large
171352,Decatur County Hospital,810 W  COLUMBIA STREET,Oberlin,KS,67749,DECATUR,7854752208,Critical Access Hospitals,Government - Local,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,"810 W COLUMBIA STREET
OBERLIN, KS
(39.816176, -100.537869)",30,Small
150048,Reid Health,1100 REID PKWY,Richmond,IN,47374,WAYNE,7659833000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1100 REID PKWY
RICHMOND, IN
(39.86303, -84.887765)",200,Large
140177,Jackson Park Hospital,7531 S STONY ISLAND AVE,Chicago,IL,60649,COOK,7739477500,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,"7531 S STONY ISLAND AVE
CHICAGO, IL
(41.757332, -87.58571)",200,Large
180051,Jennie Stuart Medical Center,320 WEST 18TH STREET,Hopkinsville,KY,42240,CHRISTIAN,2708870100,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"320 WEST 18TH STREET
HOPKINSVILLE, KY
(36.860443, -87.495668)",200,Large
140242,Central Dupage Hospital,25 NORTH WINFIELD ROAD,Winfield,IL,60190,DUPAGE,6306821600,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Above the national average,,"25 NORTH WINFIELD ROAD
WINFIELD, IL
(41.873765, -88.158095)",200,Large
220052,Signature Healthcare Brockton Hospital,680 CENTER STREET,Brockton,MA,2302,PLYMOUTH,5089417000,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"680 CENTER STREET
BROCKTON, MA
(42.08621, -70.991083)",200,Large
140117,Presence Resurrection Medical Center,7435 W TALCOTT AVENUE,Chicago,IL,60631,COOK,7737748000,Acute Care Hospitals,Voluntary non-profit - Church,True,True,4,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"7435 W TALCOTT AVENUE
CHICAGO, IL
(41.988458, -87.81257)",200,Large
190102,"Our Lady Of Lourdes Regional Medical Center, Inc",4801 AMBASSADOR CAFFERY PARKWAY,Lafayette,LA,70508,LAFAYETTE,3374702000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Below the national average,,"4801 AMBASSADOR CAFFERY PARKWAY
LAFAYETTE, LA
(30.150001, -92.040447)",200,Large
141301,Kirby Medical Center,1000 MEDICAL CENTER DRIVE,Monticello,IL,61856,PIATT,2177622115,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"1000 MEDICAL CENTER DRIVE
MONTICELLO, IL
(40.060163, -88.56377)",30,Small
120006,Castle Medical Center,640 ULUKAHIKI ST,Kailua,HI,96734,HONOLULU,8082635500,Acute Care Hospitals,Voluntary non-profit - Church,True,True,3,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"640 ULUKAHIKI ST
KAILUA, HI
(21.381502, -157.757229)",200,Large
120007,Kuakini Medical Center,347 NORTH KUAKINI STREET,Honolulu,HI,96817,HONOLULU,8085362236,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"347 NORTH KUAKINI STREET
HONOLULU, HI
(21.322211, -157.856211)",200,Large
181325,Jane Todd Crawford Hospital,202-206 MILBY STREET,Greensburg,KY,42743,GREEN,2709324211,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"202-206 MILBY STREET
GREENSBURG, KY
(37.242124, -85.496302)",30,Small
190053,Jennings American Legion Hospital,1634 ELTON ROAD,Jennings,LA,70546,JEFFERSON DAVIS,3376167000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,"1634 ELTON ROAD
JENNINGS, LA
(30.239215, -92.663445)",200,Large
140122,Adventist Hinsdale Hospital,120 NORTH OAK ST,Hinsdale,IL,60521,DUPAGE,6308569000,Acute Care Hospitals,Voluntary non-profit - Church,True,True,4,,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"120 NORTH OAK ST
HINSDALE, IL
(41.805329, -87.920062)",200,Large
180044,Pikeville Medical Center,911 BYPASS ROAD,Pikeville,KY,41501,PIKE,6062183500,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,"911 BYPASS ROAD
PIKEVILLE, KY
(37.47251, -82.52395)",200,Large
190054,Iberia General Hospital And Medical Center,2315 E MAIN STREET,New Iberia,LA,70562,IBERIA,3373640441,Acute Care Hospitals,Government - Hospital District or Authority,True,True,3,,Same as the national average,,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Below the national average,,"2315 E MAIN STREET
NEW IBERIA, LA
(29.988938, -91.785528)",200,Large
151330,Adams Memorial Hospital,1100 MERCER AVE,Decatur,IN,46733,ADAMS,2607242145,Critical Access Hospitals,Government - Local,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1100 MERCER AVE
DECATUR, IN
(40.817771, -84.912314)",30,Small
150115,Memorial Hospital And Health Care Center,800 W 9TH ST,Jasper,IN,47546,DUBOIS,8129962345,Acute Care Hospitals,Voluntary non-profit - Church,True,True,5,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"800 W 9TH ST
JASPER, IN
(38.393743, -86.941281)",200,Large
111304,Morgan Memorial Hospital,1077 SOUTH MAIN STREET,Madison,GA,30650,MORGAN,7063421667,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Not Available,Results are not available for this reporting period,"1077 SOUTH MAIN STREET
MADISON, GA
(33.583455, -83.477635)",30,Small
120002,Maui Memorial Medical Center,221 MAHALANI STREET,Wailuku,HI,96793,MAUI,8084425101,Acute Care Hospitals,Government - State,True,True,3,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"221 MAHALANI STREET
WAILUKU, HI
(20.884455, -156.488087)",200,Large
210016,Adventist Healthcare Washington Adventist Hospital,7600 CARROLL AVENUE,Takoma Park,MD,20912,MONTGOMERY,3018915651,Acute Care Hospitals,Voluntary non-profit - Private,True,True,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,"7600 CARROLL AVENUE
TAKOMA PARK, MD
(38.98373, -77.000015)",200,Large
151315,Cameron Memorial Community Hospital Inc,416 E MAUMEE ST,Angola,IN,46703,STEUBEN,2606652141,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,"416 E MAUMEE ST
ANGOLA, IN
(41.634883, -84.995521)",30,Small
151324,"Franciscan Health Rensselaer, Inc",1104 E GRACE ST,Rensselaer,IN,47978,JASPER,2198665141,Critical Access Hospitals,Voluntary non-profit - Private,True,True,2,,Same as the national average,,Not Available,Results are not available for this reporting period,Below the national average,,Below the national average,,Not Available,Results are not available for this reporting period,Above the national average,,Not Available,Results are not available for this reporting period,"1104 E GRACE ST
RENSSELAER, IN
(40.9336, -87.138357)",30,Small
150158,Iu Health West Hospital,1111 N RONALD REAGAN PKWY,Avon,IN,46123,HENDRICKS,3172173000,Acute Care Hospitals,Proprietary,True,True,5,,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,"1111 N RONALD REAGAN PKWY
AVON, IN
(39.782568, -86.343731)",200,Large
171362,Citizens Medical Center,100 E COLLEGE DRIVE,Colby,KS,67701,THOMAS,7854627511,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,This hospitals star rating only includes data reported on inpatient services,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"100 E COLLEGE DRIVE
COLBY, KS
(39.379755, -101.045049)",30,Small
150001,Johnson Memorial Hospital,1125 W JEFFERSON ST,Franklin,IN,46131,JOHNSON,3177363300,Acute Care Hospitals,Government - Local,True,True,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"1125 W JEFFERSON ST
FRANKLIN, IN
(39.480598, -86.076663)",200,Large
131305,Steele Memorial Medical Center,203 SOUTH DAISY STREET,Salmon,ID,83467,LEMHI,2087565600,Critical Access Hospitals,Voluntary non-profit - Other,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"203 SOUTH DAISY STREET
SALMON, ID
(45.173311, -113.890918)",30,Small
161308,Franklin General Hospital,1720 CENTRAL AVENUE EAST,Hampton,IA,50441,FRANKLIN,6414565000,Critical Access Hospitals,Government - Local,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"1720 CENTRAL AVENUE EAST
HAMPTON, IA
(42.741407, -93.186763)",30,Small
170017,Susan B Allen Memorial Hospital,720 W CENTRAL ST,El Dorado,KS,67042,BUTLER,3163224557,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"720 W CENTRAL ST
EL DORADO, KS
(37.817438, -96.858789)",200,Large
121307,Hale Ho'Ola Hamakua,45-547 PLUMERIA STREET,Honokaa,HI,96727,HAWAII,8089324100,Critical Access Hospitals,Government - State,True,True,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"45-547 PLUMERIA STREET
HONOKAA, HI
(20.076271, -155.470595)",30,Small
151316,St Vincent Frankfort Hospital Inc,1300 S JACKSON ST,Frankfort,IN,46041,CLINTON,7656563000,Critical Access Hospitals,Voluntary non-profit - Church,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1300 S JACKSON ST
FRANKFORT, IN
(40.269905, -86.510536)",30,Small
220058,Clinton Hospital Association,201 HIGHLAND STREET,Clinton,MA,1510,WORCESTER,9783683000,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"201 HIGHLAND STREET
CLINTON, MA
(42.427062, -71.693349)",200,Large
171334,Medicine Lodge Memorial Hospital,710 N WALNUT STREET,Medicine Lodge,KS,67104,BARBER,6208863771,Critical Access Hospitals,Government - Hospital District or Authority,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"710 N WALNUT STREET
MEDICINE LODGE, KS
(37.289877, -98.577659)",30,Small
190255,Park Place Surgical Hospital,4811 AMBASSADOR CAFFERY PARKWAY,Lafayette,LA,70508,LAFAYETTE,3372378119,Acute Care Hospitals,Proprietary,False,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Below the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"4811 AMBASSADOR CAFFERY PARKWAY
LAFAYETTE, LA
(30.149798, -92.040114)",200,Large
170187,Salina Surgical Hospital,401 SOUTH SANTA FE AVENUE,Salina,KS,67401,SALINE,7858270610,Acute Care Hospitals,Physician,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Above the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"401 SOUTH SANTA FE AVENUE
SALINA, KS
(38.834346, -97.609162)",200,Large
161370,Loring Hospital,211 HIGHLAND AVENUE PO BOX 217,Sac City,IA,50583,SAC,7126627105,Critical Access Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,"211 HIGHLAND AVENUE PO BOX 217
SAC CITY, IA
(42.418706, -94.977991)",30,Small
210056,Medstar Good Samaritan Hospital,5601 LOCH RAVEN BOULEVARD,Baltimore,MD,21239,BALTIMORE CITY,4434443902,Acute Care Hospitals,Voluntary non-profit - Other,True,True,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,"5601 LOCH RAVEN BOULEVARD
BALTIMORE, MD
(39.359417, -76.588628)",200,Large
201310,Bridgton Hospital,10 HOSPITAL DRIVE,Bridgton,ME,4009,CUMBERLAND,2076476000,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,"10 HOSPITAL DRIVE
BRIDGTON, ME
(44.047249, -70.712777)",30,Small
190020,Lane Regional Medical Center,6300 MAIN STREET,Zachary,LA,70791,EAST BATON ROUGE,2256584000,Acute Care Hospitals,Government - Hospital District or Authority,True,True,2,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,"6300 MAIN STREET
ZACHARY, LA
(30.649957, -91.136747)",200,Large
210043,University Of Md Balto Washington  Medical Center,301 HOSPITAL DRIVE,Glen Burnie,MD,21061,ANNE ARUNDEL,4105951967,Acute Care Hospitals,Voluntary non-profit - Other,True,True,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,Not Available,Data suppressed by CMS for one or more quarters,"301 HOSPITAL DRIVE
GLEN BURNIE, MD
(39.138784, -76.622247)",200,Large
220062,Adcare Hospital Of Worcester Inc,107 LINCOLN STREET,Worcester,MA,1605,WORCESTER,5087999000,Acute Care Hospitals,Proprietary,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,"107 LINCOLN STREET
WORCESTER, MA
(42.276182, -71.795576)",200,Large
140008,Loyola Gottlieb Memorial Hospital,701 WEST NORTH AVE,Melrose Park,IL,60160,COOK,7084504924,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"701 WEST NORTH AVE
MELROSE PARK, IL
(41.908342, -87.841101)",200,Large
180001,St Elizabeth Ft Thomas,85 NORTH GRAND AVENUE,Fort Thomas,KY,41075,CAMPBELL,8595723100,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"85 NORTH GRAND AVENUE
FORT THOMAS, KY
(39.078457, -84.464876)",200,Large
160008,Keokuk Area Hospital,1600 MORGAN STREET,Keokuk,IA,52632,LEE,3195247150,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period,"1600 MORGAN STREET
KEOKUK, IA
(40.406952, -91.388116)",200,Large
141339,Taylorville Memorial Hospital,201 EAST PLEASANT STREET,Taylorville,IL,62568,CHRISTIAN,2178243331,Critical Access Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Not Available,Results are not available for this reporting period,Same as the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"201 EAST PLEASANT STREET
TAYLORVILLE, IL
(39.553753, -89.293754)",30,Small
170146,Providence Medical Center,8929 PARALLEL PARKWAY,Kansas City,KS,66112,WYANDOTTE,9135964000,Acute Care Hospitals,Voluntary non-profit - Church,True,True,4,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"8929 PARALLEL PARKWAY
KANSAS CITY, KS
(39.128585, -94.785289)",200,Large
140239,Rockford Memorial Hospital,2400 NORTH ROCKTON AVENUE,Rockford,IL,61103,WINNEBAGO,8159686861,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"2400 NORTH ROCKTON AVENUE
ROCKFORD, IL
(42.298434, -89.096782)",200,Large
180011,Saint Joseph London,1001 SAINT JOSEPH LANE,London,KY,40741,LAUREL,6063306000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,"1001 SAINT JOSEPH LANE
LONDON, KY
(37.118553, -84.106349)",200,Large
180115,Rockcastle Regional Hospital & Respiratory Care Ct,145 NEWCOMB AVENUE,Mount Vernon,KY,40456,ROCKCASTLE,6062562195,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,"145 NEWCOMB AVENUE
MOUNT VERNON, KY
(37.358006, -84.337001)",200,Large
190079,St Charles Parish Hospital,1057 PAUL MAILLARD ROAD,Luling,LA,70070,SAINT CHARLES,9857853644,Acute Care Hospitals,Government - Hospital District or Authority,True,True,3,,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period,"1057 PAUL MAILLARD ROAD
LULING, LA
(29.924424, -90.371818)",200,Large
